Load #,Company,Amount Paid,Date Paid
12883609,Acertus,$85.00,
12933285,Acertus,$90.00,
12962971,Acertus,$90.00,
111120,Carvana,$75.00,
10389515832,Ready,$80.00,4/1/2025
10389662428,Ready,$80.00,4/1/2025
10392805760,Ready,$80.00,4/1/2025
82322847,United,$225.00,
82322806,United,$240.00,
COPART-50212765,Ubacar,$130.00,
5493126,Progressive,$100.00,
10392931250,Ready,$100.00,4/1/2025
10392149898,Ready,$100.00,4/1/2025
12962367,Acertus,$150.00,
5439463,MoveWheels,$450.00,
13046089,Acertus,$100.00,
13058867,Acertus,$100.00,
13046095,Acertus,$300.00,
82393824,United,$240.00,
RP31518A,RCG,$75.00,
RP32206A,RCG,$75.00,
RP32207A,RCG,$75.00,
RP31513A,RCG,$75.00,
RP33547A,RCG,$75.00,
RP33548A,RCG,$75.00,
RP33545A,RCG,$75.00,
RP33544A,RCG,$75.00,
RP32290A,RCG,$72.00,
RP34720A,RCG,$72.00,
RP32288A,RCG,$72.00,
RP34716A,RCG,$72.00,
EF-69429,Expedited,$150.00,
RP32289A,RCG,$72.00,
RP34718A,RCG,$72.00,
RP34721A,RCG,$72.00,
RP32873A,RCG,$72.00,
10443078848,Ready,$80.00,4/1/2025
10445596675,Ready,$80.00,4/1/2025
10443078593,Ready,$80.00,4/1/2025
RP32285A,RCG,$72.00,
RP32284A,RCG,$72.00,
RP32286A,RCG,$72.00,
RP34717A,RCG,$72.00,
RP36237A,RCG,$75.00,
RP36239A,RCG,$75.00,
RP36225A,RCG,$75.00,
RP36246A,RCG,$75.00,
RP40989A,RCG,$75.00,
RP40996A,RCG,$75.00,
RP42783A,RCG,$75.00,
RP40998A,RCG,$75.00,
RP42789A,RCG,$75.00,
RP42779A,RCG,$75.00,
RP40999A,RCG,$75.00,
RP40983A,RCG,$75.00,
RP42778A,RCG,$75.00,
RP42782A,RCG,$75.00,
RP42796A,RCG,$75.00,
RP40995A,RCG,$75.00,
RP42778A,RCG,$75.00,
RP42782A,RCG,$75.00,
RP42796A,RCG,$75.00,
RP40995A,RCG,$75.00,
RP42790A,RCG,$75.00,
RP42781A,RCG,$75.00,
RP42792A,RCG,$75.00,
RP42785A,RCG,$75.00,
RP42780A,RCG,$75.00,
RP42784A,RCG,$75.00,
RP42795A,RCG,$75.00,
RP42797A,RCG,$75.00,
RP42787A,RCG,$75.00,
RP42791A,RCG,$75.00,
RP42798A,RCG,$75.00,
RP42788A,RCG,$75.00,
RP42793A,RCG,$75.00,
RP42794A,RCG,$75.00,
RP43741A,RCG,$75.00,
RP45373A,RCG,$75.00,
RP45372A,RCG,$75.00,
RP45374A,RCG,$75.00,
RP45370A,RCG,$75.00,
RP45368A,RCG,$75.00,
RP45369A,RCG,$75.00,
RP45371A,RCG,$75.00,
RP45375A,RCG,$75.00,
RP45376A,RCG,$75.00,
RP45367A,RCG,$75.00,
RP47269A,RCG,$75.00,
RP47268A,RCG,$75.00,
RP47267A,RCG,$75.00,
RP46782A,RCG,$75.00,
RP46783A,RCG,$75.00,
RP46784A,RCG,$75.00,
10456532884,Ready,$134.37,4/1/2025
10456531730,Ready,$134.37,4/1/2025
RP50082A,RCG,$75.00,
RP50823A,RCG,$75.00,
RP50092A,RCG,$75.00,
RP50087A,RCG,$75.00,
RP50083A,RCG,$75.00,
RP50088A,RCG,$75.00,
RP50090A,RCG,$75.00,
RP50086A,RCG,$75.00,
RP50091A,RCG,$75.00,
RP50084A,RCG,$75.00,
RP52333A,RCG,$75.00,
RP50093A,RCG,$75.00,
RP50085A,RCG,$75.00,
RP50824A,RCG,$118.00,
RP50089A,RCG,$75.00,
21372004,Monarch,$775.00,
RP11816A,RCG,$75.00,
RP11822A,RCG,$75.00,
RP11817A,RCG,$75.00,
RP11815A,RCG,$75.00,
RP11827A,RCG,$75.00,
RP11821A,RCG,$75.00,
RP11824A,RCG,$75.00,
RP11818A,RCG,$75.00,
RP10932A,RCG,$75.00,
RP11335A,RCG,$75.00,
RP10931A,RCG,$75.00,
RP13241A,RCG,$75.00,
RP13239A,RCG,$75.00,
RP10930A,RCG,$75.00,
RP13240A,RCG,$75.00,
RP13242A,RCG,$75.00,
RP13237A,RCG,$75.00,
RP13238A,RCG,$75.00,
RP11750A,RCG,$75.00,
RP15888A,RCG,$75.00,
RP10924A,RCG,$75.00,
RP10925A,RCG,$75.00,
RP11812A,RCG,$75.00,
RP11810A,RCG,$75.00,
RP15890A,RCG,$75.00,
RP15885A,RCG,$75.00,
RP15889A,RCG,$75.00,
RP15905A,RCG,$75.00,
RP15902A,RCG,$75.00,
RP15884A,RCG,$75.00,
RP16351A,RCG,$75.00,
RP15883A,RCG,$75.00,
RP15893A,RCG,$75.00,
RP15891A,RCG,$75.00,
RP15897A,RCG,$75.00,
RP15886A,RCG,$75.00,
RP15894A,RCG,$75.00,
RP15904A,RCG,$75.00,
RP15900A,RCG,$75.00,
RP15892A,RCG,$75.00,
13935829,Acertus,$180.00,
13935831,Acertus,$145.00,
13935843,Acertus,$146.00,
13935839,Acertus,$146.00,
13935837,Acertus,$146.00,
13935835,Acertus,$145.00,
13935833,Acertus,$145.00,
13935827,Acertus,$145.00,
13935823,Acertus,$145.00,
RP26505A,RCG,$75.00,
RP26495A,RCG,$75.00,
RP26509A,RCG,$75.00,
RP26502A,RCG,$75.00,
RP26510A,RCG,$75.00,
RP26512A,RCG,$75.00,
RP26499A,RCG,$75.00,
RP26497A,RCG,$75.00,
31488-66944,Anew Transport,,
31456-05168,Anew Transport,$225.00,
RP31900A,RCG,$75.00,
RP31515A,RCG,$75.00,
RP31517A,RCG,$75.00,
RP31496A,RCG,$75.00,
RP31505A,RCG,$75.00,
RP31508A,RCG,$75.00,
RP31506A,RCG,$75.00,
RP31512A,RCG,$75.00,
RP31498A,RCG,$75.00,
RP31509A,RCG,$75.00,
RP31501A,RCG,$75.00,
RP31507A,RCG,$75.00,
RP31510A,RCG,$75.00,
RP31494A,RCG,$75.00,
RP31499A,RCG,$75.00,
RP31493A,RCG,$75.00,
RP31518A,RCG,$75.00,
RP32206A,RCG,$75.00,
RP32207A,RCG,$75.00,
RP31513A,RCG,$75.00,
RP33547A,RCG,$75.00,
RP33548A,RCG,$75.00,
RP33545A,RCG,$75.00,
RP33544A,RCG,$75.00,
