Load #,Company,Amount Paid,Date Paid
RN10819A,RCG,$75.00,
RN13041A,RCG,$75.00,
RN13037A,RCG,$75.00,
RN13042A,RCG,$75.00,
RN13039A,RCG,$75.00,
10367985349,Ready,$97.97,3/14??
RN13043A,RCG,$75.00,
RN13044A,RCG,$75.00,
RN13040A,RCG,$75.00,
RN13038A,RCG,$75.00,
RM97462A,RCG,$110.00,
10369841557,Ready,$100.00,3/18??
RN15956A,RCG,$75.00,
RN15959A,RCG,$75.00,
RN15954A,RCG,$75.00,
RN15953A,RCG,$75.00,
RN15957A,RCG,$75.00,
RN15952A,RCG,$75.00,
RN15951A,RCG,$75.00,
RN15955A,RCG,$75.00,
RN15950A,RCG,$75.00,
RN15958A,RCG,$75.00,
625919,Preowned,$70.00,
EF-57487,Expedited,,
20438674,CarsArrive,$75.00,3/27
20436901,CarsArrive,$70.00,3/27
12553291,RCG,$185.00,
12567393,RCG,$100.00,
RN18908A,RCG,$75.00,
RN19488A,RCG,$75.00,
RN19480A,RCG,$75.00,
RN19490A,RCG,$75.00,
RN19496A,RCG,$75.00,
RN19495A,RCG,$75.00,
RN19487A,RCG,$75.00,
RN19491A,RCG,$75.00,
RN19481A,RCG,$75.00,3/27
RN19479A,RCG,$75.00,3/27
RN19483A,RCG,$75.00,3/27
RN19494A,RCG,$75.00,3/27
RN19493A,RCG,$75.00,3/27
RN19485A,RCG,$75.00,3/27
RN19492A,RCG,$75.00,3/27
RN19484A,RCG,$75.00,3/27
RN19497A,RCG,$75.00,3/27
RN19486A,RCG,$75.00,3/27
RN22606A,RCG,$75.00,3/27
RN22491A,RCG,$105.00,3/27
RN22600A,RCG,$75.00,3/27
RN23254A,RCG,$75.00,3/27
RN22605A,RCG,$105.00,3/27
RN22597A,RCG,$75.00,3/27
RN22598A,RCG,$75.00,4/1
RN22599A,RCG,$75.00,4/1
RN23784A,RCG,$75.00,4/1
RN22601A,RCG,$75.00,4/1
RN22603A,RCG,$75.00,4/1
RN22602A,RCG,$75.00,4/1
RN25817A,RCG,$75.00,4/1
RN26692A,RCG,$105.00,4/1
RN25813A,RCG,$75.00,4/1
RN25814A,RCG,$75.00,4/1
RN25816A,RCG,$75.00,4/1
RN25815A,RCG,$75.00,4/1
10376102339,Ready,$100.00,3/29??
10377400762,Ready,$100.00,3/29??
12707611,RCG,$85.00,4/4
10378504363,Ready,$125.00,4/1/2025
RN27772A,RCG,$75.00,4/4
RN27188A,RCG,$75.00,4/4
RN27186A,RCG,$75.00,4/4
10374717056,Ready,$155.90,4/1/2025
10395713577,Ready,$151.59,4/1/2025
RN53848A,RCG,$75.00,
RN53846A,RCG,$75.00,
RN53847A,RCG,$75.00,
10403231472,Ready,$100.00,4/1/2025
10400872488,Ready,$143.05,4/1/2025
10403394724,Ready,$145.72,4/1/2025
10403660668,Ready,$100.00,4/1/2025
RN64235A,RCG,$75.00,
RN64233A,RCG,$75.00,
RN64234A,RCG,$75.00,
RN64232A,RCG,$75.00,
12945409,ShipYourCar,$125.00,
RN64230A,RCG,$75.00,
RN64231A,RCG,$75.00,
31490-31391,ANew Transport,$125.00,
31434-41176,ANew Transport,$125.00,
10404008563,Ready,$100.00,4/1/2025
28P5FM,Tarpon,$125.00,
BRAD-DEN2-051625,VRCG,$200.00,
RN65403A,RCG,$75.00,
RN65402A,RCG,$75.00,
RN64232A,RCG,$75.00,
RN64234A,RCG,$75.00,
051925WR,Helpful,$107.00,
RN66379A,RCG,$75.00,
10406624075,Ready,$100.00,4/1/2025
RN69123A,RCG,$75.00,
RN69117A,RCG,$75.00,
RN69118A,RCG,$75.00,
RN69119A,RCG,$75.00,
RN71563A,RCG,$120.00,
RN71564A,RCG,$75.00,
RN71565A,RCG,$105.00,
RN71567A,RCG,$75.00,
RN71559A,RCG,$75.00,
RN71566A,RCG,$75.00,
13335095,Acertus,$100.00,
13335093,Acertus,$100.00,
